status,ngrams,entropy,entropyRelative,vowel-cons,firstDigitIndex,length,digits,ip,special,port,subdomain,shortening,abnormal
0,1140.0672115895802,4.236508988556127,1.048695735869633,0.4411764705882353,0,57,0,0,1,0,3,0,0
1,860.6536752136753,3.671405583442497,2.623985799006816,0.5,15,26,2,0,1,0,2,0,0
0,1099.2911417618443,4.399831947929027,1.566078811342966,0.453125,42,123,6,0,1,0,4,0,0
0,1139.4131774631776,4.1416216087552495,1.6928807543594218,0.4090909090909091,23,37,1,0,1,0,3,1,1
1,675.3214844630228,4.999064553237473,1.5726581140294789,0.5384615384615384,32,158,60,0,1,0,5,0,0
0,1033.1748548609014,4.126950016748872,1.0517535580227353,0.3214285714285714,0,44,0,0,1,0,3,0,0
1,1001.9444965818226,4.620237328690092,1.1178122325987816,0.6440677966101694,69,129,12,0,1,0,6,0,0
0,1300.3635944159198,3.997188518009175,0.95338709134741,0.52,0,44,0,0,1,0,3,0,0
0,1045.6039555216028,4.014438730983426,1.9659438228969812,0.4,0,35,0,0,1,0,3,0,0
1,1042.9562775217614,4.685717808842492,2.0937735285314405,0.4558823529411764,64,126,6,0,1,0,4,0,0
1,994.9289635485288,3.881195107760606,1.1504038759041466,0.6,39,46,2,0,1,0,3,0,0
1,781.6135163649727,5.272339894654141,2.3916734688296075,0.359375,33,105,4,0,1,0,3,0,0
1,617.7005100247985,4.942362251471632,1.6347520531570168,0.4509803921568627,33,155,62,0,1,0,5,0,0
0,1108.4314169570266,3.8199578985571474,1.7733470170980965,0.5238095238095238,0,42,0,0,1,0,4,0,0
0,1194.217243202502,4.432166821737537,0.8093129413509881,0.4038461538461538,0,85,0,0,1,0,3,0,0
1,733.9664859981932,4.593619578381066,1.7713604635523674,0.6551724137931034,33,82,20,0,1,0,3,0,0
1,741.3353819406451,4.426177218751301,5.652234969784841,0.6,8,39,8,0,1,0,3,0,0
0,877.4739353464964,4.016735577283109,1.3794397441286657,0.3333333333333333,37,42,1,0,1,0,3,0,0
0,911.8204525089606,3.644247562960808,1.1464696781903618,0.238095238095238,0,32,0,0,1,0,3,0,0
1,731.3233075951825,4.567364673065061,6.157563077519225,0.3571428571428571,8,66,17,0,1,0,7,1,0
1,1092.2561996779389,4.112826021500903,0.8454166591722114,0.5,0,46,0,0,1,0,4,0,0
1,1060.953519595746,4.358459262490947,0.7623058138716095,0.5,0,62,0,0,1,0,5,0,1
0,977.283247863248,4.209867121904034,1.6328119611775629,0.2352941176470588,0,26,0,0,1,0,3,0,0
0,1131.932097337856,4.135299814773783,1.1770991892267992,0.56,0,48,0,0,1,0,3,0,0
1,910.15094017094,3.873140679513132,1.7818265365934074,0.4615384615384615,0,26,0,0,1,0,3,0,1
1,431.2070240015355,4.897720947970794,2.280303790535356,0.3578947368421052,70,293,146,0,1,0,5,0,0
0,707.3281642512078,3.833269689515107,2.5030775256796614,0.4166666666666667,19,25,2,0,1,0,3,0,0
0,931.1615220528264,4.001822825622231,1.4948354460893225,0.5,0,23,0,0,1,0,3,0,1
1,1269.7278432992512,4.27117482363929,0.8653140505716213,0.5483870967741935,67,114,1,0,1,0,5,1,0
1,1270.5406962010736,4.4036519305121695,3.5544390434131383,0.5892857142857143,42,106,5,0,1,0,4,0,0
0,704.4818423551757,4.004344446367528,1.6554678883817306,0.25,0,27,0,0,1,0,4,0,1
1,1037.8588823414912,4.53597280037594,0.8587937346145056,0.5,0,92,0,0,1,0,6,0,0
0,986.2829817500832,4.123029870578661,1.3451920464312923,0.3333333333333333,0,43,0,0,1,0,4,0,0
1,783.7908486442867,4.765779440837205,1.5009778908098392,0.5142857142857142,34,84,21,0,1,0,3,0,0
0,909.6293778102346,4.404365892868156,2.709537032312176,0.4516129032258064,27,63,7,0,1,0,4,0,0
0,1279.2100564741104,4.251703727741195,1.0149112026505576,0.525,0,71,0,0,1,0,3,1,0
0,1046.5184617816196,4.282340283509331,3.1069050731635324,0.55,0,39,0,0,1,0,3,0,0
1,1302.1388176116,3.7030407100708658,1.6017742473085246,0.3684210526315789,0,33,0,0,1,0,3,0,0
1,990.55896939318,4.241152190424379,1.6668836809503036,0.3529411764705882,0,57,0,0,1,0,5,0,0
0,1017.4685185185184,4.107017709595357,1.3878885649573791,0.4285714285714285,0,36,0,0,1,0,3,0,0
0,1089.0367383512544,3.7806390622295662,1.045169082294079,0.4705882352941176,0,32,0,0,1,0,3,0,0
0,954.5829769468884,4.066677073707229,1.094135234179966,0.2857142857142857,0,33,0,0,1,0,3,0,0
1,1126.7065450797122,4.355394380822004,0.7657202973736026,0.5128205128205128,44,73,2,0,1,0,4,1,0
0,1313.284745271587,4.020843553362251,0.8211638392257877,0.4545454545454545,0,38,0,0,1,0,3,0,0
1,714.2598105728043,4.561748047693658,1.2378958481408344,0.4444444444444444,36,68,20,0,1,0,2,0,0
1,873.3793039203433,4.845831026631984,1.1178122325987816,0.4833333333333333,64,127,20,0,1,0,5,0,0
1,1091.6934811827955,3.913909765557392,1.0886759790766405,0.3888888888888889,0,32,0,0,1,0,3,0,0
1,945.165045861997,4.558652309443365,1.4373104906125709,0.5263157894736842,25,41,4,0,1,0,2,0,0
1,984.6382731169624,4.397947169575876,1.3908219076768271,0.3636363636363636,66,71,1,0,1,0,4,0,0
1,892.7706689342405,4.228438191111385,2.849423607239682,0.2666666666666666,47,50,3,0,1,0,2,0,0
1,876.9455847473088,4.1852301329094015,5.056264911905072,0.4666666666666667,11,29,1,0,1,0,3,1,0
1,1107.5966604024743,3.9745047643853657,1.2799264577580918,0.5384615384615384,0,45,0,0,1,0,2,0,0
1,878.0454359774212,4.068957238806496,1.902566365807326,0.5,24,34,1,0,1,0,4,0,1
1,805.8421816009559,4.826637143341985,1.1178122325987816,0.490566037735849,64,126,28,0,1,0,5,0,0
0,1038.5064268940798,3.977916874693636,1.751378352716848,0.4705882352941176,0,31,0,0,1,0,3,1,1
1,1162.8400125283845,4.2415272628521095,0.8108927438127786,0.5652173913043478,44,45,1,0,1,0,3,1,0
0,1129.6713913326817,4.006071013101169,1.125594208646899,0.4210526315789473,0,33,0,0,1,0,3,0,0
0,849.1505305152364,4.436006945330953,0.950862566627336,0.4,0,35,0,0,1,0,3,0,0
1,1053.9417506105008,4.295370222435671,1.1992196419674663,0.3823529411764705,56,65,8,0,1,0,2,0,0
0,1171.42625530669,4.186954489636055,1.2654284423232909,0.5416666666666666,0,46,0,0,1,0,3,1,0
0,1243.8678794263026,4.074195789878432,0.95338709134741,0.48,0,43,0,0,1,0,3,0,0
1,1081.1387009631196,4.283752474627447,0.8737907028392408,0.5652173913043478,0,45,0,0,1,0,2,0,0
1,644.1865582775713,5.666069256502518,1.9564639909113577,0.3787878787878788,45,263,47,0,1,0,7,0,0
0,896.9822965309853,4.573275769939079,2.760409072585048,0.358974358974359,53,69,1,0,1,0,5,0,0
0,1017.2865957966764,3.945464952495108,1.096538331584722,0.2857142857142857,0,33,0,0,1,0,3,1,1
